,,longName,L.Year,Today,risk_score,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
FTEC,0,Fidelity MSCI Information Technology Index ETF,104.8,155.86,13.21,0.5,Neutral,Upward,0.08,48.73,39.49,42.66,0.99,1.01,0.95,236786.67,0.1,10.66,Uptrend,Bear,,
AIRR,0,First Trust RBA American Industrial RenaissanceTM ETF,45.95,63.95,4.7,0.1,Overbought - Potential Reversal,Upward,0.21,39.17,40.89,39.08,0.98,1.01,0.93,73860.0,0.29,10.5,Uptrend,Bear,,
VGT,0,Vanguard Information Technology Index Fund ETF Shares,354.69,524.39,43.76,0.5,Neutral,Upward,0.02,47.85,38.6,41.75,0.99,1.01,0.95,460320.0,0.1,10.43,Uptrend,Bear,,
QQQ,0,Invesco QQQ Trust,296.88,440.25,37.28,0.5,Neutral,Upward,0.03,48.29,38.16,42.37,1.0,1.01,0.97,44911046.67,0.11,10.42,Uptrend,Bear,,
ARKK,0,ARK Innovation ETF,37.76,50.36,4.99,0.5,Neutral,Upward,0.2,33.39,42.24,34.59,0.99,1.02,0.94,11626286.67,0.11,10.28,Uptrend,Bear,,
AMZA,0,InfraCap MLP ETF,28.07,40.06,2.85,0.5,Neutral,Upward,0.35,42.69,34.36,45.77,0.98,1.0,0.96,40546.67,0.27,10.26,Uptrend,Bear,,
FXL,0,First Trust Technology AlphaDEX Fund,97.67,135.59,11.4,0.5,Neutral,Upward,0.09,38.83,38.99,35.33,1.0,1.01,0.97,36460.0,0.04,9.85,Uptrend,Bear,,
AMJ,0,JPMorgan Alerian MLP Index ETN,20.01,27.95,2.06,0.5,Neutral,Upward,0.49,39.66,33.37,41.65,0.99,1.01,0.97,411033.33,0.24,9.71,Uptrend,Bear,,
PSP,0,Invesco Global Listed Private Equity ETF,45.88,65.56,5.39,0.5,Neutral,Upward,0.19,42.88,32.78,41.12,0.98,1.0,0.97,17426.67,0.17,9.52,Uptrend,Bull,,
KCE,0,SPDR S&P Capital Markets ETF,78.17,107.9,8.67,0.1,Overbought - Potential Reversal,Upward,0.12,38.04,35.53,37.32,0.98,1.0,0.95,80020.0,0.19,9.5,Uptrend,Bear,,
IAK,0,iShares U.S. Insurance ETF,80.82,114.38,8.54,0.1,Overbought - Potential Reversal,Upward,0.12,41.52,32.68,41.0,0.98,0.99,0.96,49853.33,0.3,9.45,Uptrend,Bull,,
IYG,0,iShares U.S. Financial Services ETF,46.38,64.68,5.03,0.1,Overbought - Potential Reversal,Upward,0.2,39.46,33.26,39.46,0.98,0.99,0.96,77933.33,0.23,9.39,Uptrend,Bull,,
TDIV,0,First Trust NASDAQ Technology Dividend Index Fund,49.44,69.6,5.17,0.5,Neutral,Upward,0.19,40.77,35.04,36.37,0.99,1.02,0.95,80880.0,0.13,9.38,Uptrend,Bear,,
FINX,0,Global X FinTech ETF,19.69,27.3,2.17,0.1,Overbought - Potential Reversal,Upward,0.46,38.64,32.91,38.92,0.97,1.0,0.91,131840.0,0.22,9.32,Uptrend,Bull,,
RSPT,0,Invesco S&P 500 Equal Weight Technology ETF,25.52,35.09,2.59,0.5,Neutral,Upward,0.39,37.51,35.79,33.59,0.99,1.02,0.95,566913.33,0.14,9.25,Uptrend,Bear,,
VOX,0,Vanguard Communication Services Index Fund ETF Shares,89.59,128.9,9.88,0.5,Neutral,Upward,0.1,43.88,32.29,37.82,0.99,1.0,0.98,165373.33,0.07,9.1,Uptrend,Bull,,
IYT,0,iShares Transportation Average ETF,51.7,69.93,5.2,0.5,Neutral,Upward,0.19,35.27,33.83,34.91,1.0,1.01,0.99,411586.67,0.2,9.07,Downtrend,Bear,,
FCOM,0,Fidelity MSCI Communication Services Index ETF,34.04,48.68,3.69,0.5,Neutral,Upward,0.27,43.02,31.72,37.3,0.99,1.0,0.98,89426.67,0.07,8.98,Uptrend,Bull,,
AMLP,0,Alerian MLP ETF,34.04,46.74,3.2,0.5,Neutral,Upward,0.31,37.3,30.14,39.22,0.99,1.0,0.97,1101853.33,0.24,8.96,Uptrend,Bear,,
ATMP,0,Barclays ETN+ Select MLP ETN,16.86,23.26,1.53,0.1,Overbought - Potential Reversal,Upward,0.65,37.95,30.3,38.49,0.98,1.0,0.96,17706.67,0.26,8.92,Uptrend,Bull,,
GREK,0,Global X MSCI Greece ETF,28.41,39.95,3.29,0.5,Neutral,Downward,0.3,40.64,29.36,39.73,1.01,1.03,1.0,44373.33,0.13,8.89,Downtrend,Bear,,
PSCI,0,Invesco S&P SmallCap Industrials ETF,91.14,121.22,8.74,0.5,Neutral,Upward,0.11,33.01,33.21,33.63,0.99,1.01,0.97,8106.67,0.13,8.82,Uptrend,Bear,,
IYF,0,iShares U.S. Financials ETF,67.98,92.94,6.66,0.1,Overbought - Potential Reversal,Upward,0.15,36.71,30.31,37.82,0.98,0.99,0.96,109906.67,0.25,8.78,Uptrend,Bull,,
FXR,0,First Trust Industrials/Producer Durables AlphaDEX Fund,52.47,70.43,4.61,0.1,Overbought - Potential Reversal,Upward,0.22,34.24,30.4,34.43,0.98,1.0,0.95,75746.67,0.27,8.47,Uptrend,Bull,,
FNCL,0,Fidelity MSCI Financials Index ETF,43.2,58.05,4.09,0.1,Overbought - Potential Reversal,Upward,0.24,34.36,29.43,35.72,0.98,0.99,0.96,76920.0,0.23,8.45,Uptrend,Bull,,
VFH,0,Vanguard Financials Index Fund ETF Shares,74.3,99.91,7.04,0.1,Overbought - Potential Reversal,Upward,0.14,34.46,29.28,35.68,0.98,0.99,0.96,512573.33,0.22,8.41,Uptrend,Bull,,
KIE,0,SPDR S&P Insurance ETF,37.36,50.66,3.29,0.1,Overbought - Potential Reversal,Upward,0.3,35.61,28.12,35.96,0.98,1.0,0.96,779940.0,0.29,8.29,Uptrend,Bull,,
XLF,0,Financial Select Sector SPDR Fund,30.82,41.16,2.73,0.1,Overbought - Potential Reversal,Upward,0.37,33.53,27.32,34.67,0.98,0.99,0.96,45006240.0,0.26,8.05,Uptrend,Bull,,
KBWB,0,Invesco KBW Bank ETF,40.26,51.46,4.13,0.1,Overbought - Potential Reversal,Upward,0.24,27.82,28.87,32.09,0.97,1.0,0.95,792186.67,0.07,7.98,Uptrend,Bull,,
IXP,0,iShares Global Comm Services ETF,59.06,82.48,5.58,0.5,Neutral,Upward,0.18,39.66,28.0,32.76,0.99,1.0,0.98,13780.0,0.11,7.96,Uptrend,Bull,,
FIDU,0,Fidelity MSCI Industrials Index ETF,50.06,65.82,4.14,0.5,Neutral,Upward,0.24,31.48,28.48,31.52,0.99,1.0,0.96,86020.0,0.31,7.94,Uptrend,Bear,,
VIS,0,Vanguard Industrials Index Fund ETF Shares,180.27,236.64,14.82,0.5,Neutral,Upward,0.07,31.27,28.16,31.16,0.99,1.0,0.96,84026.67,0.31,7.83,Uptrend,Bear,,
KBE,0,SPDR S&P Bank ETF,35.58,45.3,4.16,0.5,Neutral,Upward,0.24,27.31,28.53,29.36,0.98,1.0,0.96,3818666.67,-0.06,7.69,Uptrend,Bear,,
FXO,0,First Trust Financials AlphaDEX Fund,34.78,45.79,3.26,0.1,Overbought - Potential Reversal,Upward,0.31,31.66,26.35,32.47,0.98,1.0,0.96,78820.0,0.09,7.66,Uptrend,Bull,,
KBWP,0,Invesco KBW Property & Casualty Insurance ETF,78.87,104.36,6.76,0.5,Neutral,Upward,0.15,32.33,26.26,32.12,0.98,1.0,0.96,22493.33,0.31,7.65,Uptrend,Bull,,
RSPN,0,Invesco S&P 500 Equal Weight Industrials ETF,35.56,46.35,2.84,0.5,Neutral,Upward,0.35,30.33,26.72,30.4,0.99,1.0,0.96,60320.0,0.3,7.58,Uptrend,Bear,,
DFNL,0,Davis Select Financial ETF,24.5,32.21,2.09,0.1,Overbought - Potential Reversal,Upward,0.48,31.42,25.9,31.79,0.98,1.0,0.96,7580.0,0.15,7.55,Uptrend,Bull,,
SBIO,0,ALPS Medical Breakthroughs ETF,28.08,35.96,3.37,0.5,Neutral,Downward,0.3,28.07,22.47,35.4,1.02,1.08,0.97,13486.67,0.13,7.43,Downtrend,Bear,,
RSPF,0,Invesco S&P 500 Equal Weight Financials ETF,47.9,62.33,4.19,0.1,Overbought - Potential Reversal,Upward,0.24,30.13,25.94,30.85,0.98,1.0,0.96,12220.0,0.14,7.43,Uptrend,Bull,,
IAI,0,iShares U.S. Broker-Dealers & Securities Exchanges ETF,87.43,113.13,7.87,0.1,Overbought - Potential Reversal,Upward,0.13,29.39,25.81,30.89,0.98,1.0,0.95,28793.33,0.19,7.4,Uptrend,Bull,,
MLPX,0,Global X MLP & Energy Infrastructure ETF,36.01,47.41,2.69,0.1,Overbought - Potential Reversal,Upward,0.37,31.66,24.53,31.69,0.98,1.0,0.96,98526.67,0.21,7.33,Uptrend,Bull,,
IYJ,0,iShares U.S. Industrials ETF,94.58,123.06,7.38,0.1,Overbought - Potential Reversal,Upward,0.14,30.12,25.91,29.29,0.98,1.0,0.96,99906.67,0.28,7.27,Uptrend,Bull,,
BIZD,0,VanEck BDC Income ETF,12.57,16.55,1.12,0.5,Neutral,Upward,0.89,31.71,24.92,28.78,0.99,1.0,0.98,644086.67,-0.0,7.2,Uptrend,Bull,,
XLI,0,Industrial Select Sector SPDR Fund,95.34,122.54,7.1,0.5,Neutral,Upward,0.14,28.53,25.41,28.17,0.99,1.0,0.96,9286073.33,0.34,7.13,Uptrend,Bear,,
IXG,0,iShares Global Financials ETF,64.68,85.01,4.86,0.1,Overbought - Potential Reversal,Upward,0.21,31.43,23.03,31.55,0.98,1.0,0.96,9560.0,0.37,7.08,Uptrend,Bull,,
XBI,0,SPDR S&P Biotech ETF,78.03,97.1,8.09,0.5,Neutral,Upward,0.12,24.43,23.25,30.91,1.01,1.06,0.95,12688920.0,0.15,7.07,Downtrend,Bear,,
PPA,0,Invesco Aerospace & Defense ETF,77.11,98.7,5.69,0.5,Neutral,Upward,0.18,28.01,24.28,26.98,0.99,1.01,0.97,145366.67,0.42,6.86,Uptrend,Bear,,
IAT,0,iShares U.S. Regional Banks ETF,33.55,41.61,3.63,0.5,Neutral,Upward,0.28,24.04,25.15,25.52,0.98,1.01,0.95,235306.67,-0.05,6.81,Uptrend,Bear,,
PHO,0,Invesco Water Resources ETF,50.7,64.68,3.73,0.5,Neutral,Upward,0.27,27.57,24.16,26.66,0.99,1.0,0.97,61873.33,0.25,6.8,Uptrend,Bear,,
RBLD,0,First Trust Alerian U.S. NextGen Infrastructure ETF,47.22,60.46,3.34,0.1,Overbought - Potential Reversal,Upward,0.3,28.03,22.84,28.5,0.98,1.0,0.95,1300.0,0.28,6.75,Uptrend,Bear,,
IEO,0,iShares U.S. Oil & Gas Exploration & Production ETF,76.79,101.18,6.43,0.1,Overbought - Potential Reversal,Upward,0.16,31.77,23.03,28.51,0.95,0.98,0.94,92186.67,0.22,6.75,Uptrend,Bull,,
MLPA,0,Global X MLP ETF,37.77,47.63,2.49,0.5,Neutral,Upward,0.4,26.1,22.3,27.47,0.99,1.0,0.97,93160.0,0.22,6.62,Uptrend,Bear,,
EUFN,0,iShares MSCI Europe Financials ETF,16.76,22.3,1.14,0.1,Overbought - Potential Reversal,Upward,0.88,33.07,18.59,31.95,0.96,1.0,0.93,332360.0,0.35,6.55,Uptrend,Bull,,
EXI,0,iShares Global Industrials ETF,105.74,136.33,7.49,0.5,Neutral,Upward,0.13,28.93,21.75,27.33,0.99,1.0,0.97,13486.67,0.34,6.5,Uptrend,Bear,,
PIO,0,Invesco Global Water ETF,32.97,42.1,2.42,0.5,Neutral,Upward,0.41,27.71,22.03,26.42,0.98,1.0,0.95,8846.67,0.33,6.49,Uptrend,Bear,,
FIW,0,First Trust Water ETF,79.3,99.42,5.53,0.5,Neutral,Upward,0.18,25.37,22.36,25.15,0.99,1.0,0.97,38106.67,0.22,6.37,Uptrend,Bear,,
XAR,0,SPDR S&P Aerospace & Defense ETF,112.19,138.81,8.16,0.5,Neutral,Upward,0.12,23.73,22.65,23.51,0.99,1.02,0.97,78813.33,0.26,6.24,Uptrend,Bear,,
XSD,0,SPDR S&P Semiconductor ETF,193.85,226.99,15.97,0.5,Neutral,Upward,0.06,17.1,28.89,12.92,1.0,1.06,0.96,58386.67,0.1,6.1,Uptrend,Bear,,
XOP,0,SPDR S&P Oil & Gas Exploration & Production ETF,113.86,146.9,9.82,0.1,Overbought - Potential Reversal,Upward,0.1,29.02,20.98,25.09,0.96,0.98,0.94,3017506.67,0.19,6.09,Uptrend,Bull,,
OIH,0,VanEck Oil Services ETF,259.13,318.44,29.01,0.1,Overbought - Potential Reversal,Upward,0.03,22.89,20.43,25.43,0.95,0.99,0.93,317040.0,0.16,6.02,Uptrend,Bull,,
FXN,0,First Trust Energy AlphaDEX Fund,14.12,17.83,1.04,0.1,Overbought - Potential Reversal,Upward,0.96,26.27,19.4,23.97,0.97,0.99,0.95,2243960.0,0.21,5.87,Uptrend,Bull,,
FCG,0,First Trust Natural Gas ETF,20.04,25.97,1.65,0.1,Overbought - Potential Reversal,Upward,0.61,29.57,18.28,25.77,0.97,0.99,0.95,244420.0,0.2,5.83,Uptrend,Bull,,
RSPG,0,Invesco S&P 500 Equal Weight Energy ETF,61.49,78.97,4.55,0.1,Overbought - Potential Reversal,Upward,0.22,28.43,17.95,25.8,0.96,0.98,0.94,71260.0,0.24,5.73,Uptrend,Bull,,
NXTG,0,First Trust IndXX NextG ETF,64.16,79.61,4.11,0.5,Neutral,Upward,0.24,24.09,20.74,19.82,0.99,1.01,0.96,9993.33,0.17,5.59,Uptrend,Bear,,
GRID,0,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,90.45,112.94,5.71,0.1,Overbought - Potential Reversal,Upward,0.18,24.87,18.2,23.3,0.97,1.0,0.94,42460.0,0.34,5.52,Uptrend,Bull,,
PINK,0,Simplify Health Care ETF,23.92,29.95,1.66,0.5,Neutral,Upward,0.6,25.19,17.33,22.78,1.0,1.01,0.99,137300.0,0.21,5.44,Downtrend,Bear,,
EBLU,0,Ecofin Global Water ESG Fund,37.12,45.74,2.32,0.5,Neutral,Upward,0.43,23.21,17.45,22.29,0.99,1.0,0.97,1833.33,0.27,5.38,Uptrend,Bear,,
XT,0,iShares Exponential Technologies ETF,49.27,60.17,3.19,0.5,Neutral,Upward,0.31,22.11,19.36,19.72,0.99,1.01,0.96,99340.0,0.11,5.38,Uptrend,Bear,,
TPYP,0,Tortoise North American Pipeline Fund,22.53,27.43,1.13,0.1,Overbought - Potential Reversal,Upward,0.89,21.74,16.28,22.7,0.98,1.0,0.96,26820.0,0.18,5.27,Uptrend,Bear,,
IHE,0,iShares U.S. Pharmaceuticals ETF,55.19,67.5,3.54,0.5,Neutral,Downward,0.28,22.31,16.17,21.95,1.01,1.03,0.99,59086.67,0.2,5.14,Downtrend,Bear,,
PPH,0,VanEck Pharmaceutical ETF,72.59,90.21,4.2,0.5,Neutral,Upward,0.24,24.27,15.99,22.01,1.0,1.01,0.98,131133.33,0.3,5.12,Uptrend,Bear,,
XTN,0,SPDR S&P Transportation ETF,69.4,82.14,5.47,0.5,Neutral,Downward,0.18,18.35,16.79,20.49,1.01,1.02,0.99,10460.0,0.08,5.06,Downtrend,Bear,,
XLB,0,Materials Select Sector SPDR Fund,74.25,91.24,3.55,0.1,Overbought - Potential Reversal,Upward,0.28,22.88,16.52,20.78,0.96,0.99,0.94,5244953.33,0.32,5.03,Uptrend,Bull,,
KBWD,0,Invesco KBW High Dividend Yield Financial ETF,12.64,15.25,0.97,0.1,Overbought - Potential Reversal,Upward,1.03,20.66,16.04,19.99,0.99,1.0,0.97,128400.0,-0.1,4.96,Uptrend,Bear,,
KRE,0,SPDR S&P Regional Banking ETF,43.13,48.88,4.37,0.5,Neutral,Upward,0.23,13.34,19.66,15.29,0.99,1.01,0.97,15192213.33,-0.12,4.95,Uptrend,Bear,,
EVX,0,VanEck Environmental Services ETF,135.12,162.83,7.85,0.1,Overbought - Potential Reversal,Upward,0.13,20.51,16.95,19.1,0.99,1.0,0.97,2320.0,0.34,4.91,Uptrend,Bull,,
FMAT,0,Fidelity MSCI Materials Index ETF,42.12,51.2,2.09,0.1,Overbought - Potential Reversal,Upward,0.48,21.56,16.16,19.44,0.97,0.99,0.94,30520.0,0.28,4.87,Uptrend,Bull,,
IYH,0,iShares U.S. Healthcare ETF,49.94,61.42,2.91,0.5,Neutral,Upward,0.34,22.98,15.53,20.1,1.0,1.01,0.99,307860.0,0.23,4.86,Uptrend,Bear,,
VAW,0,Vanguard Materials Index Fund ETF Shares,164.4,199.88,8.13,0.1,Overbought - Potential Reversal,Upward,0.12,21.58,16.24,19.51,0.97,0.99,0.94,40900.0,0.28,4.83,Uptrend,Bull,,
WBIF,0,WBI BullBear Value 3000 ETF,25.93,30.12,1.13,0.1,Overbought - Potential Reversal,Upward,0.89,16.17,16.72,16.05,0.98,1.0,0.95,2433.33,0.32,4.68,Uptrend,Bull,,
IFRA,0,iShares U.S. Infrastructure ETF,35.59,41.74,1.69,0.1,Overbought - Potential Reversal,Upward,0.59,17.26,14.82,18.11,0.98,1.0,0.96,251600.0,0.18,4.54,Uptrend,Bear,,
XME,0,SPDR S&P Metals and Mining ETF,48.8,57.08,3.58,0.5,Neutral,Downward,0.28,16.96,16.28,14.47,1.0,1.03,0.97,2610180.0,-0.03,4.38,Uptrend,Bear,,
PTH,0,Invesco Dorsey Wright Healthcare Momentum ETF,37.83,44.33,3.83,0.5,Neutral,Downward,0.26,17.17,11.94,20.22,1.02,1.06,0.98,18706.67,0.19,4.33,Downtrend,Bear,,
FENY,0,Fidelity MSCI Energy Index ETF,20.33,24.7,1.21,0.1,Overbought - Potential Reversal,Upward,0.83,21.48,11.99,19.67,0.96,0.99,0.95,618560.0,0.19,4.31,Uptrend,Bull,,
IGE,0,iShares North American Natural Resources ETF,35.53,43.14,1.65,0.1,Overbought - Potential Reversal,Upward,0.61,21.43,12.37,19.02,0.96,0.99,0.94,91306.67,0.21,4.27,Uptrend,Bull,,
VDE,0,Vanguard Energy Index Fund ETF Shares,103.42,125.89,6.15,0.1,Overbought - Potential Reversal,Upward,0.16,21.73,12.11,19.95,0.96,0.99,0.95,434773.33,0.2,4.25,Uptrend,Bull,,
BOAT,0,SonicShares Global Shipping ETF,26.85,31.11,2.02,0.5,Neutral,Downward,0.5,15.89,14.86,14.96,1.0,1.01,1.0,20553.33,-0.08,4.24,Downtrend,Bear,,
IXC,0,iShares Global Energy ETF,34.02,41.24,1.74,0.1,Overbought - Potential Reversal,Upward,0.57,21.21,10.58,20.05,0.97,0.99,0.95,436833.33,0.17,4.09,Uptrend,Bull,,
IYM,0,iShares U.S. Basic Materials ETF,122.19,144.34,5.16,0.1,Overbought - Potential Reversal,Upward,0.19,18.12,13.04,15.72,0.96,0.99,0.94,12593.33,0.22,3.98,Uptrend,Bull,,
XLV,0,Health Care Select Sector SPDR Fund,124.25,146.46,5.86,0.5,Neutral,Upward,0.17,17.88,12.03,16.52,1.0,1.01,0.99,8308746.67,0.23,3.96,Uptrend,Bear,,
XLE,0,Energy Select Sector SPDR Fund,74.62,90.36,4.09,0.1,Overbought - Potential Reversal,Upward,0.24,21.09,10.59,19.03,0.96,0.99,0.95,14599940.0,0.21,3.95,Uptrend,Bull,,
CGW,0,Invesco S&P Global Water Index ETF,46.76,54.6,2.41,0.1,Overbought - Potential Reversal,Upward,0.41,16.76,11.93,16.37,0.98,1.0,0.97,43680.0,0.23,3.92,Uptrend,Bull,,
ITA,0,iShares U.S. Aerospace & Defense ETF,110.15,126.95,6.26,0.5,Neutral,Downward,0.16,15.25,12.66,14.98,1.01,1.02,0.99,412300.0,0.23,3.9,Downtrend,Bear,,
PHDG,0,Invesco S&P 500 Downside Hedged ETF,31.49,36.5,1.4,0.5,Neutral,Upward,0.71,15.9,12.52,14.43,0.99,1.0,0.97,11073.33,0.18,3.89,Uptrend,Bear,,
LCTD,0,BlackRock World ex U.S. Carbon Transition Readiness ETF,37.85,45.77,1.7,0.5,Neutral,Upward,0.59,20.92,10.1,17.92,0.98,1.0,0.96,8100.0,0.22,3.86,Uptrend,Bull,,
FHLC,0,Fidelity MSCI Health Care Index ETF,59.15,69.18,2.76,0.5,Neutral,Upward,0.36,16.96,11.34,15.88,1.0,1.01,0.99,120486.67,0.22,3.81,Uptrend,Bear,,
EMLP,0,First Trust North American Energy Infrastructure Fund,24.89,28.84,0.82,0.5,Neutral,Upward,1.22,15.89,10.2,16.32,0.98,1.0,0.96,184220.0,0.2,3.81,Uptrend,Bear,,
VHT,0,Vanguard Health Care Index Fund ETF Shares,229.17,268.03,10.73,0.5,Neutral,Upward,0.09,16.96,11.28,15.87,1.0,1.01,0.99,189480.0,0.22,3.76,Downtrend,Bear,,
JETS,0,U.S. Global Jets ETF,17.55,19.72,1.67,0.5,Neutral,Downward,0.6,12.36,11.54,14.05,1.02,1.03,0.99,2753580.0,0.13,3.7,Downtrend,Bear,,
IYE,0,iShares U.S. Energy ETF,39.75,47.19,2.06,0.1,Overbought - Potential Reversal,Upward,0.49,18.71,9.72,16.93,0.96,0.99,0.95,461466.67,0.2,3.64,Uptrend,Bull,,
DRLL,0,Strive U.S. Energy ETF,25.33,30.03,1.26,0.1,Overbought - Potential Reversal,Upward,0.79,18.59,9.27,17.02,0.96,0.99,0.95,34706.67,0.22,3.63,Uptrend,Bull,,
ARKX,0,ARK Space Exploration & Innovation ETF,13.39,14.9,0.68,0.5,Neutral,Upward,1.46,11.28,12.33,10.95,0.99,1.01,0.97,59933.33,0.07,3.62,Uptrend,Bear,,
FXZ,0,First Trust Materials AlphaDEX Fund,60.42,68.64,2.79,0.5,Neutral,Upward,0.36,13.61,12.19,12.23,0.98,1.0,0.95,39466.67,0.07,3.56,Uptrend,Bull,,
IXJ,0,iShares Global Healthcare ETF,78.8,92.68,3.26,0.5,Neutral,Upward,0.31,17.62,9.38,15.22,0.99,1.01,0.98,112953.33,0.24,3.45,Uptrend,Bear,,
RSPC,0,Invesco S&P 500 Equal Weight Communication Services ETF,25.44,29.4,1.13,0.5,Neutral,Upward,0.88,15.55,9.95,12.24,0.99,1.0,0.97,22253.33,-0.08,3.29,Uptrend,Bear,,
IHF,0,iShares U.S. Healthcare Providers ETF,46.7,53.59,1.84,0.5,Neutral,Upward,0.54,14.74,8.04,12.7,1.0,1.01,0.98,115506.67,0.16,3.02,Uptrend,Bear,,
RSPH,0,Invesco S&P 500 Equal Weight Health Care ETF,27.9,31.55,1.37,0.5,Neutral,Upward,0.73,13.09,7.08,11.9,0.99,1.0,0.98,93046.67,0.2,2.83,Uptrend,Bear,,
IBB,0,iShares Biotechnology ETF,125.71,138.26,6.17,0.5,Neutral,Upward,0.16,9.98,7.25,10.09,1.0,1.02,0.98,2020366.67,0.04,2.58,Downtrend,Bear,,
