,,longName,L.Year,Today,risk_score,news_overall,avg_news_pos,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
PSCI,0,Invesco S&P SmallCap Industrials ETF,92.99,120.65,8.68,mixed,0.0,0.5,Neutral,Upward,0.12,29.74,36.33,33.63,0.99,1.01,0.98,8080.0,0.13,4.68,Uptrend,Bear,,
GREK,0,Global X MSCI Greece ETF,30.51,39.96,3.29,mixed,0.0,0.5,Neutral,Downward,0.3,30.97,30.3,36.14,1.01,1.02,0.99,46246.67,0.13,4.6,Downtrend,Bear,,
FXR,0,First Trust Industrials/Producer Durables AlphaDEX Fund,53.84,70.38,4.57,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.22,30.71,33.1,34.3,0.98,1.0,0.94,77440.0,0.27,4.54,Uptrend,Bull,,
KIE,0,SPDR S&P Insurance ETF,38.62,50.47,3.26,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.31,30.69,29.74,36.21,0.98,1.0,0.97,795520.0,0.3,4.54,Uptrend,Bull,,
FNCL,0,Fidelity MSCI Financials Index ETF,44.35,57.74,4.05,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.25,30.19,30.75,35.4,0.98,1.0,0.96,75333.33,0.24,4.51,Uptrend,Bull,,
IXP,0,iShares Global Comm Services ETF,58.84,82.45,5.57,mixed,0.0,0.5,Neutral,Upward,0.18,40.13,33.07,33.05,0.99,1.0,0.98,12573.33,0.08,4.48,Uptrend,Bull,,
VFH,0,Vanguard Financials Index Fund ETF Shares,76.28,99.4,6.98,mostly neutral,1.34,0.1,Overbought - Potential Reversal,Upward,0.14,30.32,30.8,35.31,0.98,1.0,0.96,517420.0,0.24,4.48,Uptrend,Bull,,
XLF,0,Financial Select Sector SPDR Fund,31.67,40.86,2.7,mostly neutral,1.92,0.1,Overbought - Potential Reversal,Upward,0.37,29.03,28.43,33.6,0.99,1.0,0.97,44791886.67,0.27,4.3,Uptrend,Bull,,
FIDU,0,Fidelity MSCI Industrials Index ETF,51.31,65.6,4.1,mixed,0.0,0.5,Neutral,Upward,0.24,27.85,30.8,31.42,0.99,1.0,0.96,81100.0,0.29,4.29,Uptrend,Bear,,
KBE,0,SPDR S&P Bank ETF,36.32,45.2,4.14,mixed,0.0,0.5,Neutral,Upward,0.24,24.46,30.56,31.97,0.98,1.01,0.97,3803293.33,-0.07,4.28,Uptrend,Bear,,
KBWB,0,Invesco KBW Bank ETF,41.59,51.17,4.09,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.24,23.04,30.14,32.0,0.98,1.0,0.96,792733.33,0.08,4.22,Uptrend,Bear,,
RSPN,0,Invesco S&P 500 Equal Weight Industrials ETF,36.45,46.27,2.82,mixed,0.0,0.5,Neutral,Upward,0.35,26.94,29.48,30.79,0.99,1.0,0.96,62406.67,0.29,4.21,Uptrend,Bear,,
FXO,0,First Trust Financials AlphaDEX Fund,35.68,45.61,3.24,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.31,27.84,28.16,32.77,0.98,1.0,0.96,76906.67,0.08,4.19,Uptrend,Bull,,
KBWP,0,Invesco KBW Property & Casualty Insurance ETF,81.88,103.94,6.67,mixed,0.0,0.5,Neutral,Upward,0.15,26.94,27.32,32.7,0.98,0.99,0.97,22220.0,0.31,4.18,Uptrend,Bull,,
VIS,0,Vanguard Industrials Index Fund ETF Shares,184.96,235.93,14.7,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.07,27.55,30.47,31.23,0.99,1.0,0.96,84626.67,0.3,4.17,Uptrend,Bear,,
BIZD,0,VanEck BDC Income ETF,12.82,16.51,1.12,mixed,0.0,0.5,Neutral,Upward,0.89,28.74,26.64,30.46,0.99,1.0,0.98,633233.33,0.01,4.15,Uptrend,Bull,,
MLPX,0,Global X MLP & Energy Infrastructure ETF,37.29,47.3,2.67,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.37,26.86,25.46,32.99,0.97,1.0,0.95,99606.67,0.22,4.1,Uptrend,Bull,,
DFNL,0,Davis Select Financial ETF,25.29,32.1,2.07,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.48,26.95,26.9,30.69,0.98,1.0,0.96,7533.33,0.16,4.04,Uptrend,Bull,,
RSPF,0,Invesco S&P 500 Equal Weight Financials ETF,49.38,62.1,4.16,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.24,25.76,27.58,31.04,0.98,1.0,0.96,12306.67,0.15,4.03,Uptrend,Bull,,
SBIO,0,ALPS Medical Breakthroughs ETF,28.45,35.56,3.35,mixed,0.0,0.5,Neutral,Downward,0.3,25.0,20.16,34.51,1.03,1.09,0.98,13433.33,0.08,3.99,Downtrend,Bear,,
IYJ,0,iShares U.S. Industrials ETF,96.64,122.73,7.31,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.14,26.99,27.94,29.1,0.98,1.0,0.96,100100.0,0.28,3.9,Uptrend,Bull,,
XLI,0,Industrial Select Sector SPDR Fund,97.74,122.21,7.03,mixed,0.0,0.5,Neutral,Upward,0.14,25.03,27.55,28.35,0.99,1.0,0.96,9343653.33,0.33,3.89,Uptrend,Bear,,
IAI,0,iShares U.S. Broker-Dealers & Securities Exchanges ETF,88.35,112.92,7.8,mostly neutral,1.68,0.1,Overbought - Potential Reversal,Upward,0.13,27.8,27.39,29.0,0.98,1.0,0.95,29313.33,0.22,3.86,Uptrend,Bull,,
IAT,0,iShares U.S. Regional Banks ETF,34.62,41.55,3.61,mixed,0.0,0.5,Neutral,Upward,0.28,20.01,27.53,27.79,0.98,1.01,0.95,243680.0,-0.05,3.85,Uptrend,Bear,,
IXG,0,iShares Global Financials ETF,66.95,84.6,4.81,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.21,26.37,24.31,30.44,0.98,0.99,0.96,9620.0,0.37,3.84,Uptrend,Bull,,
EUFN,0,iShares MSCI Europe Financials ETF,17.77,22.24,1.12,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.89,25.14,19.96,31.08,0.96,0.99,0.93,283746.67,0.37,3.83,Uptrend,Bull,,
RBLD,0,First Trust Alerian U.S. NextGen Infrastructure ETF,48.06,60.39,3.31,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.3,25.65,25.24,29.37,0.98,1.0,0.95,1280.0,0.29,3.83,Uptrend,Bear,,
PHO,0,Invesco Water Resources ETF,51.61,64.51,3.7,mixed,0.0,0.5,Neutral,Upward,0.27,24.99,26.45,27.64,0.99,1.0,0.97,61720.0,0.26,3.81,Uptrend,Bear,,
PPA,0,Invesco Aerospace & Defense ETF,78.87,98.44,5.63,mixed,0.0,0.5,Neutral,Upward,0.18,24.81,25.93,27.59,0.99,1.02,0.97,147700.0,0.42,3.78,Uptrend,Bear,,
XBI,0,SPDR S&P Biotech ETF,79.01,96.2,8.03,mixed,0.0,0.5,Neutral,Downward,0.12,21.75,21.26,30.52,1.02,1.07,0.96,12699973.33,0.1,3.72,Downtrend,Bear,,
MLPA,0,Global X MLP ETF,38.65,47.56,2.48,mixed,0.0,0.5,Neutral,Upward,0.4,23.05,23.17,27.82,0.99,1.01,0.97,94106.67,0.21,3.69,Uptrend,Bear,,
PIO,0,Invesco Global Water ETF,33.6,42.22,2.39,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.42,25.66,24.38,27.12,0.98,1.0,0.95,10153.33,0.35,3.66,Uptrend,Bear,,
FIW,0,First Trust Water ETF,80.67,99.3,5.49,mixed,0.0,0.5,Neutral,Upward,0.18,23.1,24.11,26.44,0.99,1.01,0.97,36900.0,0.22,3.59,Uptrend,Bear,,
EXI,0,iShares Global Industrials ETF,108.89,136.47,7.42,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.13,25.33,24.19,26.94,0.98,1.0,0.96,13493.33,0.35,3.57,Uptrend,Bear,,
XAR,0,SPDR S&P Aerospace & Defense ETF,114.89,138.63,8.1,mixed,0.0,0.5,Neutral,Upward,0.12,20.66,24.1,24.45,0.99,1.02,0.97,79213.33,0.22,3.44,Uptrend,Bear,,
IEO,0,iShares U.S. Oil & Gas Exploration & Production ETF,81.69,98.88,6.41,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.16,21.04,20.29,26.06,0.97,1.0,0.94,92433.33,0.22,3.3,Uptrend,Bull,,
FCG,0,First Trust Natural Gas ETF,21.33,25.61,1.65,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.6,20.07,18.01,25.36,0.98,1.0,0.94,246900.0,0.2,3.25,Uptrend,Bear,,
PINK,0,Simplify Health Care ETF,24.06,29.92,1.65,mixed,0.0,0.5,Neutral,Upward,0.61,24.36,17.37,24.29,1.0,1.01,0.99,130673.33,0.19,3.21,Downtrend,Bear,,
FXN,0,First Trust Energy AlphaDEX Fund,14.96,17.56,1.04,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.96,17.36,18.29,23.09,0.98,1.0,0.94,2235140.0,0.2,3.2,Uptrend,Bear,,
TPYP,0,Tortoise North American Pipeline Fund,23.24,27.44,1.12,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.9,18.09,17.28,24.0,0.98,1.0,0.95,29406.67,0.19,3.19,Uptrend,Bull,,
KBWD,0,Invesco KBW High Dividend Yield Financial ETF,12.82,15.25,0.97,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,1.03,18.91,18.08,22.67,0.98,1.0,0.97,123120.0,-0.12,3.14,Uptrend,Bear,,
EBLU,0,Ecofin Global Water ESG Fund,38.15,45.75,2.3,mixed,0.0,0.5,Neutral,Upward,0.44,19.92,19.13,22.6,0.98,1.0,0.97,1820.0,0.27,3.13,Uptrend,Bull,,
NXTG,0,First Trust IndXX NextG ETF,64.97,80.21,4.08,mixed,0.0,0.5,Neutral,Upward,0.24,23.46,22.86,20.54,0.98,1.01,0.95,9720.0,0.17,3.12,Uptrend,Bear,,
PPH,0,VanEck Pharmaceutical ETF,72.86,90.61,4.17,mostly neutral,3.45,0.5,Neutral,Upward,0.24,24.36,17.18,23.98,0.99,1.0,0.98,128280.0,0.31,3.09,Uptrend,Bear,,
XOP,0,SPDR S&P Oil & Gas Exploration & Production ETF,121.56,143.86,9.82,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.1,18.35,19.39,23.79,0.98,1.0,0.95,3003100.0,0.19,3.08,Uptrend,Bear,,
XT,0,iShares Exponential Technologies ETF,49.8,60.63,3.19,mixed,0.0,0.5,Neutral,Upward,0.31,21.74,22.06,20.28,0.98,1.01,0.95,98553.33,0.1,3.07,Uptrend,Bear,,
IHE,0,iShares U.S. Pharmaceuticals ETF,55.23,67.61,3.52,mixed,0.0,0.5,Neutral,Downward,0.28,22.42,17.45,23.21,1.01,1.03,0.99,59560.0,0.18,3.06,Downtrend,Bear,,
RSPG,0,Invesco S&P 500 Equal Weight Energy ETF,65.31,77.76,4.55,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.22,19.06,16.62,24.67,0.97,1.0,0.94,68806.67,0.22,3.04,Uptrend,Bull,,
GRID,0,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,93.77,112.55,5.64,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.18,20.02,20.29,21.65,0.97,1.0,0.94,44373.33,0.33,3.01,Uptrend,Bear,,
OIH,0,VanEck Oil Services ETF,279.6,314.02,29.03,mixed,0.0,0.5,Neutral,Upward,0.03,12.31,18.44,23.09,0.96,1.0,0.94,319666.67,0.06,3.01,Uptrend,Bear,,
XTN,0,SPDR S&P Transportation ETF,70.59,82.28,5.47,mixed,0.0,0.5,Neutral,Downward,0.18,16.56,19.4,20.99,1.0,1.01,0.99,10546.67,0.05,2.96,Downtrend,Bear,,
IYH,0,iShares U.S. Healthcare ETF,50.05,61.61,2.89,mostly neutral,3.45,0.5,Neutral,Upward,0.35,23.09,16.43,22.0,0.99,1.01,0.98,296760.0,0.25,2.94,Uptrend,Bear,,
KRE,0,SPDR S&P Regional Banking ETF,43.84,48.83,4.35,mixed,0.0,0.5,Neutral,Upward,0.23,11.38,21.77,18.66,0.99,1.02,0.97,15376060.0,-0.13,2.9,Uptrend,Bear,,
XSD,0,SPDR S&P Semiconductor ETF,197.9,233.45,15.92,mixed,0.0,0.5,Neutral,Upward,0.06,17.96,28.12,13.81,0.97,1.03,0.93,60466.67,0.11,2.86,Uptrend,Bear,,
XLB,0,Materials Select Sector SPDR Fund,76.74,90.35,3.49,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.29,17.73,16.96,20.58,0.97,1.0,0.94,5031393.33,0.3,2.79,Uptrend,Bear,,
FMAT,0,Fidelity MSCI Materials Index ETF,43.61,50.88,2.06,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.49,16.67,17.16,19.72,0.97,1.0,0.94,28840.0,0.26,2.79,Uptrend,Bear,,
IFRA,0,iShares U.S. Infrastructure ETF,36.3,41.6,1.68,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.6,14.6,16.2,20.06,0.98,1.01,0.96,258913.33,0.17,2.79,Uptrend,Bear,,
EVX,0,VanEck Environmental Services ETF,137.86,162.11,7.83,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.13,17.59,17.61,19.83,0.99,1.0,0.97,2440.0,0.34,2.74,Uptrend,Bull,,
VAW,0,Vanguard Materials Index Fund ETF Shares,170.08,198.46,8.01,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.12,16.68,17.21,19.79,0.97,1.0,0.95,40306.67,0.26,2.71,Uptrend,Bear,,
WBIF,0,WBI BullBear Value 3000 ETF,26.27,30.01,1.12,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.89,14.24,17.35,15.5,0.98,1.0,0.96,2420.0,0.33,2.62,Uptrend,Bull,,
PTH,0,Invesco Dorsey Wright Healthcare Momentum ETF,38.36,44.23,3.81,mixed,0.0,0.5,Neutral,Downward,0.26,15.31,11.82,20.82,1.02,1.06,0.98,18553.33,0.15,2.61,Downtrend,Bear,,
EMLP,0,First Trust North American Energy Infrastructure Fund,25.37,28.81,0.81,mixed,0.0,0.5,Neutral,Upward,1.23,13.57,11.07,18.04,0.98,1.0,0.96,188213.33,0.2,2.6,Uptrend,Bear,,
XME,0,SPDR S&P Metals and Mining ETF,51.89,57.05,3.57,mixed,0.0,0.5,Neutral,Downward,0.28,9.95,18.37,15.28,1.0,1.03,0.97,2508306.67,-0.02,2.53,Uptrend,Bear,,
FENY,0,Fidelity MSCI Energy Index ETF,21.48,24.36,1.21,mixed,0.0,0.5,Neutral,Upward,0.83,13.39,10.89,18.42,0.98,1.0,0.95,626000.0,0.18,2.52,Uptrend,Bear,,
XLV,0,Health Care Select Sector SPDR Fund,124.35,147.03,5.81,mostly neutral,0.9,0.5,Neutral,Upward,0.17,18.24,13.05,18.59,0.99,1.01,0.98,8264753.33,0.27,2.49,Uptrend,Bear,,
BOAT,0,SonicShares Global Shipping ETF,27.35,31.45,2.01,mixed,0.0,0.5,Neutral,Upward,0.5,15.0,16.39,15.14,0.99,1.0,0.98,20693.33,-0.03,2.46,Uptrend,Bear,,
PHDG,0,Invesco S&P 500 Downside Hedged ETF,31.45,36.61,1.39,mixed,0.0,0.5,Neutral,Upward,0.72,16.39,14.92,15.06,0.99,1.0,0.97,11360.0,0.19,2.46,Uptrend,Bull,,
FHLC,0,Fidelity MSCI Health Care Index ETF,59.26,69.33,2.74,mostly neutral,3.45,0.5,Neutral,Upward,0.36,17.0,12.06,17.63,1.0,1.0,0.99,106853.33,0.23,2.42,Uptrend,Bear,,
IGE,0,iShares North American Natural Resources ETF,37.3,42.5,1.64,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.61,13.93,11.45,17.73,0.97,1.0,0.95,84453.33,0.19,2.39,Uptrend,Bear,,
ARKX,0,ARK Space Exploration & Innovation ETF,13.57,14.98,0.68,mixed,0.0,0.5,Neutral,Upward,1.46,10.39,14.61,11.62,0.98,1.01,0.96,62100.0,0.06,2.38,Uptrend,Bear,,
VDE,0,Vanguard Energy Index Fund ETF Shares,109.26,123.99,6.13,mixed,0.0,0.5,Neutral,Upward,0.16,13.48,11.01,18.49,0.97,1.0,0.95,430086.67,0.18,2.36,Uptrend,Bear,,
LCTD,0,BlackRock World ex U.S. Carbon Transition Readiness ETF,39.06,45.61,1.68,mixed,0.0,0.5,Neutral,Upward,0.59,16.76,11.05,16.86,0.98,1.0,0.97,8340.0,0.2,2.36,Uptrend,Bear,,
VHT,0,Vanguard Health Care Index Fund ETF Shares,229.75,269.0,10.65,mostly neutral,3.45,0.5,Neutral,Upward,0.09,17.08,12.18,17.71,1.0,1.01,0.99,189186.67,0.24,2.36,Uptrend,Bear,,
ITA,0,iShares U.S. Aerospace & Defense ETF,112.67,126.95,6.23,mixed,0.0,0.5,Neutral,Downward,0.16,12.68,14.32,15.74,1.01,1.02,0.99,414200.0,0.22,2.35,Downtrend,Bear,,
CGW,0,Invesco S&P Global Water Index ETF,47.53,54.35,2.39,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.42,14.35,12.88,16.52,0.98,1.0,0.97,42653.33,0.21,2.33,Uptrend,Bear,,
IXC,0,iShares Global Energy ETF,35.96,40.64,1.74,mixed,0.0,0.5,Neutral,Upward,0.58,13.0,9.19,17.88,0.98,1.0,0.96,449773.33,0.15,2.33,Uptrend,Bull,,
IXJ,0,iShares Global Healthcare ETF,79.25,93.2,3.24,mixed,0.0,0.5,Neutral,Upward,0.31,17.6,10.35,17.18,0.99,1.0,0.98,114213.33,0.28,2.29,Uptrend,Bull,,
XLE,0,Energy Select Sector SPDR Fund,78.85,88.94,4.08,mixed,0.0,0.5,Neutral,Upward,0.25,12.79,9.25,17.61,0.97,1.0,0.95,14134453.33,0.19,2.23,Uptrend,Bear,,
