,,longName,L.Year,Today,risk_score,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
FTXL,0,First Trust Nasdaq Semiconductor ETF,59.37,91.33,8.12,0.5,Neutral,Upward,0.12,53.82,57.26,48.82,0.96,1.04,0.92,43380.0,0.13,13.95,Uptrend,Bear,,
SKYY,0,First Trust Cloud Computing ETF,60.33,95.65,9.22,0.5,Neutral,Upward,0.11,58.54,54.72,52.58,0.98,1.02,0.93,189000.0,0.09,13.94,Uptrend,Bear,,
IYW,0,iShares U.S. Technology ETF,82.87,133.51,12.75,0.5,Neutral,Upward,0.08,61.1,51.06,51.39,0.99,1.01,0.96,633533.33,0.06,13.26,Uptrend,Bear,,
IGV,0,iShares Expanded Tech-Software Sector ETF,54.76,84.93,8.63,0.5,Neutral,Downward,0.12,55.09,46.57,48.73,1.0,1.03,0.97,3615960.0,0.01,12.33,Downtrend,Bear,,
AIQ,0,Global X Artificial Intelligence & Technology ETF,21.97,33.65,2.88,0.5,Neutral,Upward,0.35,53.14,47.0,45.79,0.99,1.01,0.95,883146.67,0.13,12.14,Uptrend,Bear,,
FDN,0,First Trust Dow Jones Internet Index Fund,132.37,202.35,18.14,0.5,Neutral,Upward,0.06,52.87,46.31,44.59,0.99,1.01,0.96,441200.0,0.09,11.87,Uptrend,Bear,,
XLK,0,Technology Select Sector SPDR Fund,135.34,207.35,18.3,0.5,Neutral,Upward,0.05,53.21,44.95,45.68,0.99,1.02,0.96,7229366.67,0.05,11.77,Uptrend,Bear,,
PRN,0,Invesco Dorsey Wright Industrials Momentum ETF,90.71,133.9,11.1,0.1,Overbought - Potential Reversal,Upward,0.09,47.61,44.47,46.49,0.98,1.01,0.94,8353.33,0.33,11.77,Uptrend,Bear,,
IXN,0,iShares Global Tech ETF,48.96,74.21,6.22,0.5,Neutral,Upward,0.16,51.57,44.17,44.42,0.99,1.01,0.95,144206.67,0.09,11.55,Uptrend,Bear,,
FTEC,0,Fidelity MSCI Information Technology Index ETF,102.5,154.98,13.13,0.5,Neutral,Upward,0.08,51.19,43.29,44.08,0.99,1.02,0.96,244860.0,0.07,11.37,Uptrend,Bear,,
CIBR,0,First Trust NASDAQ Cybersecurity ETF,39.68,57.26,5.39,0.5,Neutral,Upward,0.19,44.3,44.99,41.15,1.0,1.02,0.95,1051786.67,0.04,11.34,Uptrend,Bear,,
QQQ,0,Invesco QQQ Trust,288.7,439.02,37.23,0.5,Neutral,Upward,0.03,52.07,42.38,44.18,0.99,1.02,0.97,46169353.33,0.09,11.24,Uptrend,Bear,,
HACK,0,Amplify Cybersecurity ETF,44.32,64.52,6.09,0.5,Neutral,Upward,0.16,45.56,43.43,42.3,1.0,1.02,0.95,187666.67,0.05,11.22,Uptrend,Bear,,
VGT,0,Vanguard Information Technology Index Fund ETF Shares,346.98,521.49,43.49,0.5,Neutral,Upward,0.02,50.29,42.31,43.22,0.99,1.02,0.96,487960.0,0.07,11.13,Uptrend,Bear,,
AIRR,0,First Trust RBA American Industrial RenaissanceTM ETF,46.43,64.23,4.56,0.1,Overbought - Potential Reversal,Upward,0.22,38.34,42.41,39.02,0.97,1.0,0.93,77246.67,0.35,10.73,Uptrend,Bear,,
PAVE,0,Global X U.S. Infrastructure Development ETF,27.58,38.28,2.85,0.1,Overbought - Potential Reversal,Upward,0.35,38.8,40.48,41.62,0.97,1.0,0.94,1086260.0,0.36,10.73,Uptrend,Bear,,
ARKK,0,ARK Innovation ETF,36.67,50.75,4.97,0.5,Neutral,Upward,0.2,38.38,42.5,33.3,0.98,1.02,0.93,12554613.33,0.14,10.19,Uptrend,Bear,,
TDIV,0,First Trust NASDAQ Technology Dividend Index Fund,48.92,69.75,5.09,0.5,Neutral,Upward,0.2,42.58,38.18,38.71,0.98,1.02,0.95,78906.67,0.11,10.08,Uptrend,Bear,,
VOX,0,Vanguard Communication Services Index Fund ETF Shares,86.74,127.78,9.83,0.5,Neutral,Upward,0.1,47.31,36.45,39.23,1.0,1.01,0.99,153373.33,0.06,9.86,Uptrend,Bear,,
FCOM,0,Fidelity MSCI Communication Services Index ETF,32.94,48.33,3.67,0.5,Neutral,Upward,0.27,46.74,36.04,38.68,1.0,1.01,0.98,88866.67,0.07,9.77,Uptrend,Bear,,
GREK,0,Global X MSCI Greece ETF,29.27,40.83,3.29,0.5,Neutral,Upward,0.3,39.48,35.07,39.52,0.99,1.0,0.98,44060.0,0.27,9.73,Uptrend,Bear,,
RSPT,0,Invesco S&P 500 Equal Weight Technology ETF,25.29,35.18,2.54,0.5,Neutral,Upward,0.39,39.11,37.2,35.43,0.98,1.02,0.94,560993.33,0.12,9.64,Uptrend,Bear,,
AMZA,0,InfraCap MLP ETF,29.2,39.6,2.77,0.5,Neutral,Upward,0.36,35.6,32.78,41.19,0.98,1.01,0.95,47053.33,0.29,9.57,Uptrend,Bear,,
PSP,0,Invesco Global Listed Private Equity ETF,46.36,65.14,5.29,0.5,Neutral,Upward,0.19,40.5,34.4,39.07,0.98,1.0,0.97,18240.0,0.18,9.56,Uptrend,Bear,,
AMJ,0,JPMorgan Alerian MLP Index ETN,20.6,27.77,2.01,0.5,Neutral,Upward,0.5,34.8,33.71,39.48,0.98,1.01,0.96,463540.0,0.31,9.56,Uptrend,Bear,,
FINX,0,Global X FinTech ETF,19.22,27.18,2.12,0.1,Overbought - Potential Reversal,Upward,0.47,41.39,36.03,35.69,0.96,0.99,0.91,129686.67,0.25,9.46,Uptrend,Bull,,
KCE,0,SPDR S&P Capital Markets ETF,77.15,108.17,8.48,0.1,Overbought - Potential Reversal,Upward,0.12,40.21,35.09,35.87,0.97,1.0,0.95,79680.0,0.24,9.29,Uptrend,Bull,,
IYG,0,iShares U.S. Financial Services ETF,46.15,64.04,4.92,0.1,Overbought - Potential Reversal,Upward,0.2,38.75,32.75,38.28,0.99,1.0,0.97,88660.0,0.27,9.2,Uptrend,Bull,,
IYT,0,iShares Transportation Average ETF,52.33,70.14,5.13,0.5,Neutral,Upward,0.19,34.02,33.45,36.35,1.0,1.01,0.98,493500.0,0.17,9.15,Uptrend,Bear,,
PSCI,0,Invesco S&P SmallCap Industrials ETF,91.55,121.56,8.58,0.1,Overbought - Potential Reversal,Upward,0.12,32.79,34.83,33.46,0.99,1.0,0.97,8166.67,0.18,9.01,Uptrend,Bear,,
IAK,0,iShares U.S. Insurance ETF,82.6,112.39,8.31,0.1,Overbought - Potential Reversal,Upward,0.12,36.06,31.7,37.72,0.99,1.0,0.98,73433.33,0.26,8.98,Uptrend,Bear,,
AMLP,0,Alerian MLP ETF,35.16,46.42,3.13,0.5,Neutral,Upward,0.32,32.02,30.82,36.58,0.99,1.01,0.96,1238380.0,0.28,8.8,Uptrend,Bear,,
ATMP,0,Barclays ETN+ Select MLP ETN,17.45,23.02,1.51,0.1,Overbought - Potential Reversal,Upward,0.66,31.88,30.19,35.85,0.98,1.0,0.94,17406.67,0.28,8.64,Uptrend,Bear,,
IXP,0,iShares Global Comm Services ETF,58.51,82.09,5.28,0.5,Neutral,Upward,0.19,40.3,31.11,33.18,0.99,1.0,0.98,12906.67,0.1,8.47,Uptrend,Bear,,
IYF,0,iShares U.S. Financials ETF,68.39,91.97,6.5,0.1,Overbought - Potential Reversal,Upward,0.15,34.47,29.72,35.19,0.98,1.0,0.97,94546.67,0.26,8.43,Uptrend,Bear,,
FXR,0,First Trust Industrials/Producer Durables AlphaDEX Fund,53.05,70.11,4.48,0.1,Overbought - Potential Reversal,Upward,0.22,32.16,30.19,33.15,0.97,1.0,0.95,76100.0,0.31,8.31,Uptrend,Bear,,
KBE,0,SPDR S&P Bank ETF,35.63,45.4,4.11,0.5,Neutral,Upward,0.24,27.42,31.69,29.24,0.98,1.0,0.96,3684826.67,-0.02,8.16,Uptrend,Bear,,
FNCL,0,Fidelity MSCI Financials Index ETF,43.28,57.43,3.99,0.1,Overbought - Potential Reversal,Upward,0.25,32.69,28.93,33.11,0.99,1.0,0.97,75773.33,0.26,8.12,Uptrend,Bull,,
VFH,0,Vanguard Financials Index Fund ETF Shares,74.52,98.92,6.87,0.1,Overbought - Potential Reversal,Upward,0.15,32.75,28.85,33.25,0.99,1.0,0.97,497346.67,0.26,8.11,Uptrend,Bull,,
FITE,0,SPDR S&P Kensho Future Security ETF,43.75,57.33,3.9,0.5,Neutral,Upward,0.26,31.04,29.43,30.27,0.99,1.01,0.96,5060.0,0.11,7.94,Uptrend,Bear,,
SBIO,0,ALPS Medical Breakthroughs ETF,27.94,36.64,3.33,0.5,Neutral,Upward,0.3,31.1,23.21,38.83,1.0,1.06,0.95,13233.33,0.18,7.88,Downtrend,Bear,,
KIE,0,SPDR S&P Insurance ETF,37.78,49.98,3.21,0.1,Overbought - Potential Reversal,Upward,0.31,32.29,27.42,32.59,0.99,1.01,0.97,771606.67,0.26,7.85,Uptrend,Bear,,
FIDU,0,Fidelity MSCI Industrials Index ETF,50.61,65.61,4.04,0.1,Overbought - Potential Reversal,Upward,0.25,29.63,28.26,31.02,0.98,1.0,0.96,81226.67,0.33,7.82,Uptrend,Bear,,
VIS,0,Vanguard Industrials Index Fund ETF Shares,182.58,236.15,14.47,0.1,Overbought - Potential Reversal,Upward,0.07,29.34,28.11,31.02,0.98,1.0,0.96,87873.33,0.34,7.77,Uptrend,Bear,,
KBWB,0,Invesco KBW Bank ETF,40.36,51.14,4.03,0.1,Overbought - Potential Reversal,Upward,0.25,26.72,28.73,29.68,0.97,1.0,0.96,790653.33,0.11,7.73,Uptrend,Bear,,
XLF,0,Financial Select Sector SPDR Fund,31.04,40.62,2.66,0.1,Overbought - Potential Reversal,Upward,0.38,30.86,26.46,31.93,0.99,1.0,0.97,44019140.0,0.28,7.65,Uptrend,Bull,,
RSPN,0,Invesco S&P 500 Equal Weight Industrials ETF,36.13,46.3,2.78,0.1,Overbought - Potential Reversal,Upward,0.36,28.16,27.32,30.18,0.98,1.0,0.96,66026.67,0.32,7.61,Uptrend,Bear,,
XBI,0,SPDR S&P Biotech ETF,77.84,98.95,7.94,0.5,Neutral,Upward,0.13,27.11,23.7,35.33,0.98,1.04,0.93,12722300.0,0.18,7.57,Uptrend,Bear,,
FXO,0,First Trust Financials AlphaDEX Fund,34.7,45.43,3.2,0.1,Overbought - Potential Reversal,Upward,0.31,30.92,27.03,30.23,0.98,1.0,0.97,72073.33,0.11,7.54,Uptrend,Bear,,
IAT,0,iShares U.S. Regional Banks ETF,34.02,41.82,3.58,0.5,Neutral,Upward,0.28,22.94,29.2,26.11,0.97,1.01,0.95,266893.33,0.0,7.48,Uptrend,Bear,,
RSPF,0,Invesco S&P 500 Equal Weight Financials ETF,48.43,61.77,4.09,0.1,Overbought - Potential Reversal,Upward,0.24,27.53,26.01,28.77,0.98,1.0,0.97,12146.67,0.15,7.23,Uptrend,Bull,,
BIZD,0,VanEck BDC Income ETF,12.49,16.4,1.12,0.5,Neutral,Upward,0.89,31.35,24.91,28.87,0.99,1.0,0.99,607326.67,-0.03,7.2,Uptrend,Bull,,
DFNL,0,Davis Select Financial ETF,24.9,31.88,2.04,0.1,Overbought - Potential Reversal,Upward,0.49,28.05,25.38,28.71,0.98,1.0,0.97,9700.0,0.18,7.17,Uptrend,Bull,,
IYJ,0,iShares U.S. Industrials ETF,95.2,122.33,7.19,0.1,Overbought - Potential Reversal,Upward,0.14,28.5,25.63,28.7,0.98,1.0,0.96,100620.0,0.31,7.17,Uptrend,Bear,,
PPA,0,Invesco Aerospace & Defense ETF,77.98,99.48,5.53,0.1,Overbought - Potential Reversal,Upward,0.18,27.57,24.63,29.0,0.98,1.0,0.96,136600.0,0.58,7.08,Uptrend,Bear,,
KBWP,0,Invesco KBW Property & Casualty Insurance ETF,80.29,102.59,6.52,0.5,Neutral,Upward,0.15,27.78,24.6,28.94,0.99,1.0,0.98,22100.0,0.24,7.08,Uptrend,Bear,,
XLI,0,Industrial Select Sector SPDR Fund,96.72,122.3,6.91,0.1,Overbought - Potential Reversal,Upward,0.14,26.44,25.23,28.08,0.98,1.0,0.96,9198880.0,0.36,7.05,Uptrend,Bear,,
IAI,0,iShares U.S. Broker-Dealers & Securities Exchanges ETF,85.66,112.42,7.68,0.1,Overbought - Potential Reversal,Upward,0.13,31.24,25.37,27.41,0.98,1.0,0.95,29366.67,0.23,6.99,Uptrend,Bull,,
MLPX,0,Global X MLP & Energy Infrastructure ETF,37.21,46.71,2.63,0.1,Overbought - Potential Reversal,Upward,0.38,25.53,23.55,29.44,0.98,1.01,0.95,101933.33,0.21,6.96,Uptrend,Bear,,
PHO,0,Invesco Water Resources ETF,50.73,64.42,3.64,0.5,Neutral,Upward,0.27,26.99,24.62,27.24,0.99,1.01,0.97,63366.67,0.29,6.93,Uptrend,Bear,,
IXG,0,iShares Global Financials ETF,65.91,84.12,4.72,0.1,Overbought - Potential Reversal,Upward,0.21,27.64,23.15,28.43,0.98,1.0,0.96,10026.67,0.38,6.79,Uptrend,Bull,,
XAR,0,SPDR S&P Aerospace & Defense ETF,113.51,140.98,7.98,0.1,Overbought - Potential Reversal,Upward,0.13,24.2,23.96,26.35,0.97,1.01,0.95,76140.0,0.34,6.69,Uptrend,Bear,,
PIO,0,Invesco Global Water ETF,33.15,42.06,2.33,0.1,Overbought - Potential Reversal,Upward,0.43,26.86,22.76,26.64,0.97,1.0,0.95,10906.67,0.39,6.59,Uptrend,Bear,,
RBLD,0,First Trust Alerian U.S. NextGen Infrastructure ETF,48.07,60.33,3.11,0.1,Overbought - Potential Reversal,Upward,0.32,25.5,22.2,27.04,0.97,1.0,0.95,1320.0,0.32,6.52,Uptrend,Bear,,
FIW,0,First Trust Water ETF,79.1,99.4,5.42,0.1,Overbought - Potential Reversal,Upward,0.18,25.66,22.77,26.17,0.98,1.0,0.97,38173.33,0.26,6.49,Uptrend,Bear,,
EXI,0,iShares Global Industrials ETF,107.5,136.35,7.29,0.1,Overbought - Potential Reversal,Upward,0.14,26.84,22.34,26.64,0.98,1.0,0.96,13626.67,0.38,6.48,Uptrend,Bear,,
MLPA,0,Global X MLP ETF,38.52,47.19,2.45,0.5,Neutral,Upward,0.41,22.51,22.13,26.17,0.99,1.01,0.97,99586.67,0.26,6.47,Uptrend,Bear,,
XSD,0,SPDR S&P Semiconductor ETF,192.41,233.03,15.78,0.5,Neutral,Upward,0.06,21.11,28.21,16.77,0.96,1.03,0.93,57846.67,0.08,6.37,Uptrend,Bear,,
EUFN,0,iShares MSCI Europe Financials ETF,17.45,21.87,1.1,0.1,Overbought - Potential Reversal,Upward,0.91,25.33,19.31,26.5,0.97,1.0,0.94,256293.33,0.32,6.11,Uptrend,Bull,,
KRE,0,SPDR S&P Regional Banking ETF,42.94,49.57,4.34,0.5,Neutral,Upward,0.23,15.43,24.37,17.1,0.97,1.0,0.96,15125093.33,-0.07,5.84,Uptrend,Bull,,
XT,0,iShares Exponential Technologies ETF,49.0,60.4,3.17,0.5,Neutral,Upward,0.32,23.28,21.48,20.77,0.98,1.01,0.95,97553.33,0.1,5.8,Uptrend,Bear,,
PINK,0,Simplify Health Care ETF,23.78,29.99,1.63,0.5,Neutral,Upward,0.62,26.1,17.03,24.53,1.0,1.01,0.99,127706.67,0.28,5.58,Downtrend,Bear,,
NXTG,0,First Trust IndXX NextG ETF,65.94,80.08,3.62,0.1,Overbought - Potential Reversal,Upward,0.28,21.44,20.71,19.18,0.97,1.01,0.95,9580.0,0.16,5.49,Uptrend,Bear,,
IEO,0,iShares U.S. Oil & Gas Exploration & Production ETF,81.02,98.0,6.4,0.1,Overbought - Potential Reversal,Upward,0.16,20.96,17.85,23.12,0.97,1.0,0.95,94393.33,0.2,5.44,Uptrend,Bull,,
XME,0,SPDR S&P Metals and Mining ETF,51.48,58.57,3.54,0.5,Neutral,Upward,0.28,13.77,20.14,18.76,0.97,1.01,0.95,2526113.33,0.08,5.39,Uptrend,Bear,,
EBLU,0,Ecofin Global Water ESG Fund,37.55,45.56,2.26,0.5,Neutral,Upward,0.44,21.34,17.42,21.91,0.99,1.0,0.97,1833.33,0.3,5.35,Uptrend,Bear,,
KBWD,0,Invesco KBW High Dividend Yield Financial ETF,12.57,15.28,0.98,0.1,Overbought - Potential Reversal,Upward,1.02,21.58,17.4,21.51,0.98,1.0,0.96,127880.0,-0.06,5.31,Uptrend,Bull,,
IHE,0,iShares U.S. Pharmaceuticals ETF,54.54,67.75,3.49,0.5,Neutral,Upward,0.29,24.23,16.03,23.76,1.01,1.03,1.0,68040.0,0.25,5.31,Downtrend,Bear,,
PPH,0,VanEck Pharmaceutical ETF,72.1,90.5,4.1,0.5,Neutral,Upward,0.24,25.51,15.27,23.98,0.99,1.0,0.98,115540.0,0.36,5.21,Uptrend,Bear,,
GRID,0,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,92.04,112.01,5.54,0.1,Overbought - Potential Reversal,Upward,0.18,21.7,16.86,21.66,0.97,1.01,0.94,36960.0,0.35,5.16,Uptrend,Bear,,
TPYP,0,Tortoise North American Pipeline Fund,23.08,27.29,1.09,0.1,Overbought - Potential Reversal,Upward,0.91,18.22,15.81,22.02,0.97,1.0,0.95,32220.0,0.2,5.13,Uptrend,Bear,,
FCG,0,First Trust Natural Gas ETF,21.26,25.46,1.66,0.1,Overbought - Potential Reversal,Upward,0.6,19.75,15.29,22.76,0.97,1.0,0.94,259613.33,0.19,5.08,Uptrend,Bull,,
XOP,0,SPDR S&P Oil & Gas Exploration & Production ETF,120.78,143.1,9.83,0.1,Overbought - Potential Reversal,Upward,0.1,18.48,16.69,21.31,0.98,0.99,0.95,3088573.33,0.19,5.07,Uptrend,Bull,,
XTN,0,SPDR S&P Transportation ETF,70.69,82.56,5.48,0.5,Neutral,Upward,0.18,16.79,16.84,20.31,1.0,1.02,0.99,11340.0,0.06,5.04,Downtrend,Bear,,
FXN,0,First Trust Energy AlphaDEX Fund,14.87,17.48,1.04,0.1,Overbought - Potential Reversal,Upward,0.96,17.59,15.83,20.73,0.97,1.0,0.95,2145113.33,0.21,5.01,Uptrend,Bull,,
IYH,0,iShares U.S. Healthcare ETF,49.54,61.41,2.85,0.5,Neutral,Upward,0.35,23.96,14.42,22.92,1.0,1.01,0.99,288153.33,0.3,4.99,Uptrend,Bear,,
PTH,0,Invesco Dorsey Wright Healthcare Momentum ETF,37.67,45.13,3.78,0.5,Neutral,Upward,0.26,19.81,12.89,23.56,1.0,1.04,0.96,18200.0,0.25,4.81,Downtrend,Bear,,
EVX,0,VanEck Environmental Services ETF,135.33,161.32,7.79,0.1,Overbought - Potential Reversal,Upward,0.13,19.21,16.08,19.0,0.99,1.0,0.97,1740.0,0.38,4.78,Uptrend,Bear,,
RSPG,0,Invesco S&P 500 Equal Weight Energy ETF,64.67,77.17,4.54,0.1,Overbought - Potential Reversal,Upward,0.22,19.32,14.12,21.91,0.97,1.0,0.95,74206.67,0.21,4.77,Uptrend,Bull,,
FMAT,0,Fidelity MSCI Materials Index ETF,43.02,50.52,2.01,0.1,Overbought - Potential Reversal,Upward,0.5,17.43,14.92,18.79,0.97,1.01,0.95,29200.0,0.27,4.62,Uptrend,Bear,,
VAW,0,Vanguard Materials Index Fund ETF Shares,167.75,197.1,7.82,0.1,Overbought - Potential Reversal,Upward,0.13,17.5,14.97,18.71,0.97,1.0,0.95,42973.33,0.27,4.57,Uptrend,Bear,,
XLB,0,Materials Select Sector SPDR Fund,75.77,89.35,3.39,0.1,Overbought - Potential Reversal,Upward,0.29,17.92,14.29,19.1,0.97,1.01,0.95,4528473.33,0.28,4.53,Uptrend,Bear,,
OIH,0,VanEck Oil Services ETF,277.7,309.39,29.11,0.1,Overbought - Potential Reversal,Upward,0.03,11.41,14.28,18.02,0.97,1.0,0.95,316793.33,0.05,4.36,Uptrend,Bear,,
ITA,0,iShares U.S. Aerospace & Defense ETF,111.4,129.18,6.16,0.1,Overbought - Potential Reversal,Upward,0.16,15.96,13.92,17.66,0.99,1.01,0.97,375513.33,0.4,4.33,Uptrend,Bear,,
IFRA,0,iShares U.S. Infrastructure ETF,36.44,41.86,1.55,0.1,Overbought - Potential Reversal,Upward,0.64,14.87,13.01,17.25,0.97,1.0,0.95,264586.67,0.22,4.2,Uptrend,Bull,,
PHDG,0,Invesco S&P 500 Downside Hedged ETF,31.51,36.47,1.35,0.1,Overbought - Potential Reversal,Upward,0.74,15.73,14.27,14.94,0.99,1.0,0.97,12873.33,0.21,4.17,Uptrend,Bear,,
WBIF,0,WBI BullBear Value 3000 ETF,26.31,29.81,1.08,0.1,Overbought - Potential Reversal,Upward,0.93,13.29,14.65,13.6,0.98,1.01,0.96,3246.67,0.31,4.13,Uptrend,Bear,,
JETS,0,U.S. Global Jets ETF,18.45,20.1,1.67,0.5,Neutral,Upward,0.6,8.94,13.11,14.73,1.0,1.01,0.99,2610233.33,0.14,4.0,Downtrend,Bear,,
ARKX,0,ARK Space Exploration & Innovation ETF,13.35,15.05,0.69,0.5,Neutral,Upward,1.46,12.74,13.72,12.49,0.97,1.0,0.96,63580.0,0.11,3.98,Uptrend,Bear,,
CGW,0,Invesco S&P Global Water Index ETF,46.8,54.43,2.36,0.1,Overbought - Potential Reversal,Upward,0.42,16.3,11.83,16.89,0.98,1.0,0.97,41833.33,0.25,3.96,Uptrend,Bear,,
XLV,0,Health Care Select Sector SPDR Fund,123.25,146.43,5.72,0.5,Neutral,Upward,0.17,18.81,10.99,17.88,1.0,1.01,0.99,8443220.0,0.31,3.95,Uptrend,Bear,,
FHLC,0,Fidelity MSCI Health Care Index ETF,58.65,69.25,2.7,0.5,Neutral,Upward,0.37,18.08,10.45,17.3,1.0,1.01,0.99,109346.67,0.29,3.83,Uptrend,Bear,,
VHT,0,Vanguard Health Care Index Fund ETF Shares,227.19,268.53,10.48,0.5,Neutral,Upward,0.1,18.2,10.52,17.31,1.0,1.01,0.99,192253.33,0.29,3.8,Uptrend,Bear,,
LCTD,0,BlackRock World ex U.S. Carbon Transition Readiness ETF,38.63,45.53,1.66,0.1,Overbought - Potential Reversal,Upward,0.6,17.87,10.64,16.59,0.98,1.0,0.96,10520.0,0.25,3.77,Uptrend,Bear,,
ROBO,0,Robo Global Robotics and Automation Index ETF,51.67,58.84,3.21,0.5,Neutral,Upward,0.31,13.88,12.2,13.02,0.97,1.01,0.95,72660.0,0.14,3.64,Uptrend,Bear,,
EMLP,0,First Trust North American Energy Infrastructure Fund,25.09,28.69,0.8,0.1,Overbought - Potential Reversal,Upward,1.26,14.36,9.14,16.09,0.98,1.0,0.96,195033.33,0.22,3.59,Uptrend,Bear,,
IYM,0,iShares U.S. Basic Materials ETF,125.36,141.58,4.96,0.1,Overbought - Potential Reversal,Upward,0.2,12.94,11.17,14.37,0.97,1.01,0.95,13746.67,0.2,3.57,Uptrend,Bear,,
FXZ,0,First Trust Materials AlphaDEX Fund,62.55,68.29,2.74,0.1,Overbought - Potential Reversal,Upward,0.36,9.17,12.22,11.69,0.98,1.0,0.95,39493.33,0.09,3.47,Uptrend,Bear,,
IXJ,0,iShares Global Healthcare ETF,78.54,92.71,3.19,0.5,Neutral,Upward,0.31,18.04,8.35,16.58,0.99,1.0,0.98,126540.0,0.32,3.44,Uptrend,Bear,,
FENY,0,Fidelity MSCI Energy Index ETF,21.31,24.17,1.2,0.1,Overbought - Potential Reversal,Upward,0.83,13.43,8.68,15.79,0.98,1.0,0.96,692453.33,0.18,3.43,Uptrend,Bull,,
IGE,0,iShares North American Natural Resources ETF,37.06,42.12,1.63,0.1,Overbought - Potential Reversal,Upward,0.61,13.65,8.99,15.59,0.97,1.0,0.96,85520.0,0.18,3.42,Uptrend,Bull,,
VDE,0,Vanguard Energy Index Fund ETF Shares,108.37,122.91,6.12,0.1,Overbought - Potential Reversal,Upward,0.16,13.42,8.6,15.8,0.98,1.0,0.96,449526.67,0.18,3.32,Uptrend,Bull,,
IXC,0,iShares Global Energy ETF,35.69,40.35,1.74,0.1,Overbought - Potential Reversal,Upward,0.58,13.05,7.41,15.42,0.98,1.0,0.97,464273.33,0.16,3.16,Uptrend,Bear,,
RSPC,0,Invesco S&P 500 Equal Weight Communication Services ETF,25.37,29.04,1.1,0.5,Neutral,Upward,0.91,14.47,9.42,11.14,1.0,1.02,0.99,21926.67,-0.12,3.1,Uptrend,Bear,,
XLE,0,Energy Select Sector SPDR Fund,78.08,88.17,4.07,0.1,Overbought - Potential Reversal,Upward,0.25,12.92,6.86,14.98,0.98,1.0,0.96,14374040.0,0.19,2.98,Uptrend,Bull,,
RSPH,0,Invesco S&P 500 Equal Weight Health Care ETF,27.76,31.62,1.34,0.5,Neutral,Upward,0.74,13.91,7.17,12.96,0.98,1.0,0.98,93153.33,0.27,2.96,Uptrend,Bull,,
IHF,0,iShares U.S. Healthcare Providers ETF,46.56,53.16,1.83,0.5,Neutral,Upward,0.55,14.17,7.61,12.35,1.01,1.02,0.99,115046.67,0.19,2.93,Downtrend,Bear,,
PBE,0,Invesco Biotechnology & Genome ETF,61.01,66.88,3.3,0.5,Neutral,Upward,0.3,9.63,7.98,11.27,0.98,1.01,0.95,25353.33,0.07,2.82,Uptrend,Bear,,
