,,longName,L.Year,Today,risk_score,news_overall,avg_news_pos,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
IXP,0,iShares Global Comm Services ETF,57.75,81.63,5.57,mixed,0.0,0.5,Neutral,Upward,0.18,41.34,32.08,34.16,1.0,1.01,0.99,12893.33,0.08,4.51,Uptrend,Bear,,
IYF,0,iShares U.S. Financials ETF,68.39,92.22,6.56,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.15,34.84,30.07,35.56,0.98,1.0,0.97,109233.33,0.27,4.47,Uptrend,Bull,,
PSCI,0,Invesco S&P SmallCap Industrials ETF,91.55,120.43,8.64,mixed,0.0,0.5,Neutral,Upward,0.12,31.55,33.58,32.22,0.99,1.01,0.98,7973.33,0.15,4.44,Uptrend,Bear,,
FXR,0,First Trust Industrials/Producer Durables AlphaDEX Fund,53.05,69.91,4.53,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.22,31.78,29.82,32.77,0.98,1.01,0.95,76860.0,0.28,4.28,Uptrend,Bear,,
FNCL,0,Fidelity MSCI Financials Index ETF,43.28,57.48,4.02,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.25,32.8,29.04,33.22,0.99,1.0,0.97,73766.67,0.25,4.27,Uptrend,Bull,,
VFH,0,Vanguard Financials Index Fund ETF Shares,74.52,99.04,6.93,mostly neutral,1.34,0.1,Overbought - Potential Reversal,Upward,0.14,32.91,29.01,33.41,0.99,1.0,0.97,502866.67,0.25,4.26,Uptrend,Bull,,
KIE,0,SPDR S&P Insurance ETF,37.78,50.2,3.24,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.31,32.87,27.98,33.18,0.99,1.0,0.97,778533.33,0.27,4.23,Uptrend,Bear,,
KBE,0,SPDR S&P Bank ETF,35.63,45.43,4.13,mixed,0.0,0.5,Neutral,Upward,0.24,27.5,31.78,29.33,0.98,1.0,0.96,3682946.67,-0.03,4.16,Uptrend,Bear,,
XLF,0,Financial Select Sector SPDR Fund,31.04,40.69,2.68,mostly neutral,1.92,0.1,Overbought - Potential Reversal,Upward,0.37,31.09,26.68,32.15,0.99,1.0,0.97,43908226.67,0.27,4.11,Uptrend,Bull,,
SBIO,0,ALPS Medical Breakthroughs ETF,27.94,35.85,3.34,mostly neutral,0.09,0.5,Neutral,Downward,0.3,28.28,20.56,35.84,1.02,1.08,0.97,13766.67,0.14,4.11,Downtrend,Bear,,
KBWB,0,Invesco KBW Bank ETF,40.36,51.22,4.06,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.25,26.92,28.93,29.88,0.97,1.0,0.95,786660.0,0.11,4.02,Uptrend,Bear,,
FIDU,0,Fidelity MSCI Industrials Index ETF,50.61,65.26,4.07,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.25,28.94,27.58,30.32,0.99,1.01,0.97,82413.33,0.31,4.0,Uptrend,Bear,,
BIZD,0,VanEck BDC Income ETF,12.49,16.46,1.13,mixed,0.0,0.5,Neutral,Upward,0.89,31.83,25.37,29.34,0.99,1.0,0.98,641826.67,-0.03,4.0,Uptrend,Bull,,
FXO,0,First Trust Financials AlphaDEX Fund,34.7,45.5,3.22,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.31,31.12,27.23,30.43,0.98,1.0,0.96,74500.0,0.1,3.99,Uptrend,Bull,,
VIS,0,Vanguard Industrials Index Fund ETF Shares,182.58,234.77,14.6,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.07,28.58,27.36,30.26,0.99,1.01,0.97,86080.0,0.31,3.94,Uptrend,Bear,,
RSPN,0,Invesco S&P 500 Equal Weight Industrials ETF,36.13,46.04,2.8,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.36,27.44,26.61,29.45,0.99,1.01,0.97,64866.67,0.3,3.92,Uptrend,Bear,,
MLPX,0,Global X MLP & Energy Infrastructure ETF,37.21,47.19,2.65,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.38,26.82,24.82,30.77,0.97,1.0,0.95,100580.0,0.21,3.91,Uptrend,Bull,,
DFNL,0,Davis Select Financial ETF,24.9,32.0,2.06,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.49,28.52,25.83,29.18,0.98,1.0,0.97,7693.33,0.15,3.88,Uptrend,Bull,,
RSPF,0,Invesco S&P 500 Equal Weight Financials ETF,48.43,61.96,4.13,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.24,27.92,26.39,29.16,0.98,1.0,0.97,12320.0,0.15,3.84,Uptrend,Bull,,
XBI,0,SPDR S&P Biotech ETF,77.84,96.83,7.98,mixed,0.0,0.5,Neutral,Upward,0.13,24.39,21.05,32.43,1.01,1.06,0.95,12597420.0,0.15,3.84,Downtrend,Bear,,
KBWP,0,Invesco KBW Property & Casualty Insurance ETF,80.29,103.3,6.59,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.15,28.66,25.46,29.83,0.99,1.0,0.97,22226.67,0.28,3.84,Uptrend,Bull,,
IAT,0,iShares U.S. Regional Banks ETF,34.02,41.79,3.6,mixed,0.0,0.5,Neutral,Upward,0.28,22.85,29.11,26.02,0.97,1.01,0.95,245553.33,-0.01,3.8,Uptrend,Bear,,
IYJ,0,iShares U.S. Industrials ETF,95.2,121.91,7.26,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.14,28.06,25.2,28.26,0.99,1.01,0.96,100300.0,0.29,3.71,Uptrend,Bear,,
PHO,0,Invesco Water Resources ETF,50.73,64.24,3.67,mixed,0.0,0.5,Neutral,Upward,0.27,26.63,24.27,26.88,0.99,1.01,0.98,63880.0,0.28,3.65,Uptrend,Bear,,
IAI,0,iShares U.S. Broker-Dealers & Securities Exchanges ETF,85.66,112.42,7.74,mostly neutral,1.68,0.1,Overbought - Potential Reversal,Upward,0.13,31.24,25.37,27.41,0.98,1.0,0.95,29013.33,0.22,3.65,Uptrend,Bull,,
RBLD,0,First Trust Alerian U.S. NextGen Infrastructure ETF,47.47,60.1,3.29,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.3,26.61,23.05,28.15,0.98,1.01,0.95,1326.67,0.3,3.64,Uptrend,Bear,,
PPA,0,Invesco Aerospace & Defense ETF,77.98,98.61,5.58,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.18,26.46,23.54,27.88,0.99,1.01,0.96,145133.33,0.46,3.63,Uptrend,Bear,,
XLI,0,Industrial Select Sector SPDR Fund,96.72,121.67,6.97,mostly neutral,0.64,0.1,Overbought - Potential Reversal,Upward,0.14,25.79,24.58,27.42,0.99,1.01,0.97,9228106.67,0.34,3.63,Uptrend,Bear,,
IXG,0,iShares Global Financials ETF,65.91,83.99,4.77,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.21,27.44,22.96,28.23,0.98,1.0,0.97,10153.33,0.34,3.62,Uptrend,Bear,,
MLPA,0,Global X MLP ETF,38.52,47.41,2.46,mixed,0.0,0.5,Neutral,Upward,0.41,23.08,22.7,26.76,0.99,1.01,0.97,99553.33,0.23,3.59,Uptrend,Bear,,
EUFN,0,iShares MSCI Europe Financials ETF,17.45,21.95,1.11,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.9,25.79,19.74,26.96,0.97,1.0,0.94,261733.33,0.3,3.53,Uptrend,Bull,,
PIO,0,Invesco Global Water ETF,33.15,41.9,2.36,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.42,26.38,22.29,26.16,0.98,1.01,0.96,11040.0,0.35,3.5,Uptrend,Bear,,
FIW,0,First Trust Water ETF,79.1,99.09,5.46,mixed,0.0,0.5,Neutral,Upward,0.18,25.27,22.39,25.78,0.99,1.01,0.97,37660.0,0.25,3.46,Uptrend,Bear,,
EXI,0,iShares Global Industrials ETF,107.5,135.53,7.36,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.14,26.08,21.61,25.88,0.99,1.01,0.97,13640.0,0.34,3.37,Uptrend,Bear,,
XAR,0,SPDR S&P Aerospace & Defense ETF,113.51,139.11,8.04,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.12,22.55,22.31,24.68,0.99,1.02,0.97,78580.0,0.26,3.31,Uptrend,Bear,,
NXTG,0,First Trust IndXX NextG ETF,64.45,79.55,4.05,mixed,0.0,0.5,Neutral,Upward,0.25,23.43,22.6,21.14,0.98,1.02,0.96,9446.67,0.16,3.15,Uptrend,Bear,,
TPYP,0,Tortoise North American Pipeline Fund,23.08,27.44,1.11,mixed,0.0,0.5,Neutral,Upward,0.9,18.87,16.44,22.69,0.97,1.0,0.95,31613.33,0.19,3.11,Uptrend,Bull,,
IEO,0,iShares U.S. Oil & Gas Exploration & Production ETF,81.02,98.86,6.41,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.16,22.02,18.89,24.2,0.97,0.99,0.94,93186.67,0.21,3.1,Uptrend,Bull,,
PINK,0,Simplify Health Care ETF,23.78,29.7,1.64,mixed,0.0,0.5,Neutral,Downward,0.61,24.88,15.9,23.32,1.01,1.02,1.0,130860.0,0.21,3.07,Downtrend,Bear,,
XT,0,iShares Exponential Technologies ETF,49.0,60.27,3.18,mixed,0.0,0.5,Neutral,Upward,0.31,23.01,21.21,20.51,0.99,1.01,0.96,97966.67,0.11,3.05,Uptrend,Bear,,
FCG,0,First Trust Natural Gas ETF,21.26,25.62,1.66,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.6,20.5,16.02,23.54,0.97,0.99,0.94,252393.33,0.2,3.02,Uptrend,Bull,,
KBWD,0,Invesco KBW High Dividend Yield Financial ETF,12.57,15.25,0.98,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,1.02,21.34,17.17,21.27,0.98,1.0,0.97,124460.0,-0.07,3.0,Uptrend,Bear,,
XSD,0,SPDR S&P Semiconductor ETF,192.41,231.52,15.84,mixed,0.0,0.5,Neutral,Upward,0.06,20.33,27.38,16.02,0.97,1.04,0.94,58873.33,0.12,2.98,Uptrend,Bear,,
FXN,0,First Trust Energy AlphaDEX Fund,14.87,17.57,1.04,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.96,18.19,16.43,21.35,0.97,0.99,0.94,2222380.0,0.2,2.98,Uptrend,Bull,,
EBLU,0,Ecofin Global Water ESG Fund,37.55,45.45,2.28,mixed,0.0,0.5,Neutral,Upward,0.44,21.04,17.13,21.61,0.99,1.0,0.98,1873.33,0.28,2.97,Uptrend,Bear,,
PPH,0,VanEck Pharmaceutical ETF,72.1,90.15,4.15,mostly neutral,3.45,0.5,Neutral,Upward,0.24,25.03,14.82,23.5,1.0,1.01,0.99,125713.33,0.31,2.94,Uptrend,Bear,,
XOP,0,SPDR S&P Oil & Gas Exploration & Production ETF,120.78,143.9,9.83,mixed,0.0,0.5,Neutral,Upward,0.1,19.14,17.34,21.99,0.97,0.99,0.95,3113420.0,0.19,2.91,Uptrend,Bull,,
IHE,0,iShares U.S. Pharmaceuticals ETF,54.54,67.1,3.51,mixed,0.0,0.5,Neutral,Downward,0.29,23.04,14.92,22.57,1.02,1.04,1.01,60506.67,0.18,2.89,Downtrend,Bear,,
IYH,0,iShares U.S. Healthcare ETF,49.54,61.3,2.88,mostly neutral,3.45,0.5,Neutral,Upward,0.35,23.74,14.21,22.7,1.0,1.01,0.99,291106.67,0.26,2.88,Uptrend,Bear,,
KRE,0,SPDR S&P Regional Banking ETF,42.94,49.32,4.35,mostly neutral,0.37,0.5,Neutral,Upward,0.23,14.85,23.74,16.51,0.98,1.01,0.96,15128573.33,-0.08,2.85,Uptrend,Bear,,
RSPG,0,Invesco S&P 500 Equal Weight Energy ETF,64.67,77.67,4.55,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.22,20.1,14.86,22.7,0.97,0.99,0.94,72313.33,0.21,2.81,Uptrend,Bull,,
GRID,0,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,92.04,111.42,5.59,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.18,21.06,16.25,21.02,0.97,1.01,0.95,43940.0,0.32,2.77,Uptrend,Bear,,
XTN,0,SPDR S&P Transportation ETF,70.69,82.43,5.48,mixed,0.0,0.5,Neutral,Upward,0.18,16.61,16.66,20.12,1.0,1.01,0.99,11133.33,0.07,2.76,Downtrend,Bear,,
XME,0,SPDR S&P Metals and Mining ETF,51.48,58.06,3.55,mixed,0.0,0.5,Neutral,Upward,0.28,12.78,19.09,17.73,0.98,1.02,0.96,2488620.0,0.04,2.73,Uptrend,Bear,,
FMAT,0,Fidelity MSCI Materials Index ETF,43.02,50.91,2.04,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.49,18.33,15.81,19.7,0.97,1.0,0.94,29086.67,0.29,2.73,Uptrend,Bull,,
XLB,0,Materials Select Sector SPDR Fund,75.77,90.36,3.44,mostly neutral,1.71,0.1,Overbought - Potential Reversal,Upward,0.29,19.25,15.58,20.45,0.97,0.99,0.94,4993713.33,0.32,2.72,Uptrend,Bull,,
EVX,0,VanEck Environmental Services ETF,135.33,161.94,7.82,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.13,19.67,16.53,19.46,0.99,1.0,0.97,1653.33,0.36,2.67,Uptrend,Bear,,
IFRA,0,iShares U.S. Infrastructure ETF,35.68,41.76,1.67,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.6,17.02,14.55,19.44,0.97,1.0,0.95,262733.33,0.21,2.67,Uptrend,Bear,,
VAW,0,Vanguard Materials Index Fund ETF Shares,167.75,198.61,7.92,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.13,18.4,15.85,19.62,0.97,1.0,0.94,42620.0,0.29,2.63,Uptrend,Bull,,
OIH,0,VanEck Oil Services ETF,277.7,314.15,29.06,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.03,13.13,16.04,19.84,0.96,0.99,0.94,325986.67,0.06,2.61,Uptrend,Bull,,
PTH,0,Invesco Dorsey Wright Healthcare Momentum ETF,37.67,43.96,3.79,mixed,0.0,0.5,Neutral,Downward,0.26,16.71,9.96,20.36,1.03,1.07,0.98,18886.67,0.18,2.49,Downtrend,Bear,,
WBIF,0,WBI BullBear Value 3000 ETF,26.09,29.89,1.11,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.9,14.54,15.42,14.85,0.98,1.0,0.96,2486.67,0.32,2.48,Uptrend,Bear,,
EMLP,0,First Trust North American Energy Infrastructure Fund,25.09,28.87,0.81,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,1.24,15.07,9.82,16.82,0.98,1.0,0.96,196640.0,0.22,2.41,Uptrend,Bull,,
PHDG,0,Invesco S&P 500 Downside Hedged ETF,31.51,36.41,1.37,mixed,0.0,0.5,Neutral,Upward,0.73,15.54,14.08,14.75,0.99,1.0,0.98,12773.33,0.21,2.4,Uptrend,Bear,,
FENY,0,Fidelity MSCI Energy Index ETF,21.31,24.39,1.21,mixed,0.0,0.5,Neutral,Upward,0.83,14.46,9.66,16.85,0.97,0.99,0.95,662060.0,0.18,2.34,Uptrend,Bull,,
ITA,0,iShares U.S. Aerospace & Defense ETF,111.4,127.93,6.19,mixed,0.0,0.5,Neutral,Upward,0.16,14.84,12.81,16.53,1.0,1.02,0.98,385546.67,0.29,2.33,Uptrend,Bear,,
ARKX,0,ARK Space Exploration & Innovation ETF,13.35,14.98,0.69,mixed,0.0,0.5,Neutral,Upward,1.46,12.21,13.18,11.96,0.98,1.01,0.96,61966.67,0.11,2.33,Uptrend,Bear,,
XLV,0,Health Care Select Sector SPDR Fund,123.25,146.35,5.77,mostly neutral,0.9,0.5,Neutral,Upward,0.17,18.74,10.93,17.82,1.0,1.01,0.99,8396533.33,0.28,2.33,Uptrend,Bear,,
CGW,0,Invesco S&P Global Water Index ETF,46.8,54.31,2.38,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.42,16.05,11.59,16.64,0.98,1.0,0.97,40980.0,0.23,2.28,Uptrend,Bear,,
FHLC,0,Fidelity MSCI Health Care Index ETF,58.65,69.06,2.72,mostly neutral,3.45,0.5,Neutral,Upward,0.37,17.76,10.14,16.97,1.0,1.01,0.99,107326.67,0.25,2.28,Uptrend,Bear,,
BOAT,0,SonicShares Global Shipping ETF,26.94,31.09,2.0,mixed,0.0,0.5,Neutral,Downward,0.5,15.41,13.35,14.46,1.0,1.02,1.0,19080.0,-0.08,2.27,Downtrend,Bear,,
JETS,0,U.S. Global Jets ETF,18.45,20.02,1.67,mostly neutral,0.35,0.5,Neutral,Upward,0.6,8.51,12.66,14.27,1.01,1.01,1.0,2484820.0,0.15,2.26,Downtrend,Bear,,
LCTD,0,BlackRock World ex U.S. Carbon Transition Readiness ETF,38.63,45.29,1.67,mixed,0.0,0.5,Neutral,Upward,0.6,17.24,10.05,15.97,0.99,1.01,0.97,10246.67,0.19,2.25,Uptrend,Bear,,
IGE,0,iShares North American Natural Resources ETF,37.06,42.54,1.64,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.61,14.79,10.08,16.74,0.97,0.99,0.95,87793.33,0.2,2.25,Uptrend,Bull,,
VHT,0,Vanguard Health Care Index Fund ETF Shares,227.19,267.97,10.58,mostly neutral,3.45,0.5,Neutral,Upward,0.09,17.95,10.29,17.06,1.0,1.01,0.99,193906.67,0.26,2.22,Uptrend,Bear,,
RSPC,0,Invesco S&P 500 Equal Weight Communication Services ETF,25.11,29.41,1.15,mixed,0.0,0.5,Neutral,Upward,0.87,17.14,11.73,13.48,0.98,0.99,0.97,22320.0,-0.08,2.2,Uptrend,Bull,,
VDE,0,Vanguard Energy Index Fund ETF Shares,108.37,124.16,6.13,mixed,0.0,0.5,Neutral,Upward,0.16,14.57,9.7,16.98,0.97,0.99,0.95,435733.33,0.18,2.19,Uptrend,Bull,,
